INSTITUTION,FULL_FARE,STUDENT,TEACHER,SIXTY_YEARS_OLD,TICKET,CHILD,PERSONNEL,FREE;INSTITUTION;FULL_FARE;STUDENT;TEACHER;SIXTY_YEARS_OLD;TICKET;CHILD;PERSONNEL;FREE
Tramvay Konak,27179,23463,632,1152,50,11,1427,9874;Tramvay Konak;27179;23463;632;1152;50;11;1427;9874
Eshot,212312,119736,1528,8014,147,84,14361,93194;Eshot;212312;119736;1528;8014;147;84;14361;93194
İzban,85870,41402,1040,2023,247,5,2994,22205;İzban;85870;41402;1040;2023;247;5;2994;22205
Izdeniz,12337,5237,176,325,341,0,195,2653;Izdeniz;12337;5237;176;325;341;0;195;2653
Izulas,60182,34242,348,2254,37,14,3625,27230;Izulas;60182;34242;348;2254;37;14;3625;27230
Metro,83949,51531,944,2818,430,10,2951,22839;Metro;83949;51531;944;2818;430;10;2951;22839
NOSTALJİK TRAMVAY,27,22,0,1,1,0,0,5;NOSTALJİK TRAMVAY;27;22;0;1;1;0;0;5
Seferihisar Mot. Taş. Kooperat,3403,1489,45,92,2,0,208,1772;Seferihisar Mot. Taş. Kooperat;3403;1489;45;92;2;0;208;1772
Teleferik,26,20,0,0,0,0,0,0;Teleferik;26;20;0;0;0;0;0;0
Tramvay Karşıyaka,8310,5293,150,290,26,1,172,2827;Tramvay Karşıyaka;8310;5293;150;290;26;1;172;2827
Tramvay Konak,20827,12959,272,738,85,3,826,6303;Tramvay Konak;20827;12959;272;738;85;3;826;6303
Eshot,150467,94775,1081,5842,159,64,9540,77106;Eshot;150467;94775;1081;5842;159;64;9540;77106
İzban,64369,31949,694,1413,298,5,1949,16235;İzban;64369;31949;694;1413;298;5;1949;16235
Izdeniz,10406,5003,96,202,559,3,127,1887;Izdeniz;10406;5003;96;202;559;3;127;1887
Izulas,37902,25326,222,1458,23,10,2285,19928;Izulas;37902;25326;222;1458;23;10;2285;19928
Metro,57954,44068,659,1592,466,6,1978,15203;Metro;57954;44068;659;1592;466;6;1978;15203
NOSTALJİK TRAMVAY,61,36,2,0,1,0,0,6;NOSTALJİK TRAMVAY;61;36;2;0;1;0;0;6
Seferihisar Mot. Taş. Kooperat,2662,1255,27,73,2,0,158,1541;Seferihisar Mot. Taş. Kooperat;2662;1255;27;73;2;0;158;1541
Teleferik,68,43,0,0,0,0,0,0;Teleferik;68;43;0;0;0;0;0;0
Tramvay Karşıyaka,6957,5213,103,158,20,0,114,2066;Tramvay Karşıyaka;6957;5213;103;158;20;0;114;2066
Tramvay Konak,13978,9795,137,362,61,1,569,4050;Tramvay Konak;13978;9795;137;362;61;1;569;4050
Eshot,288986,186249,2563,12592,233,144,20722,151209;Eshot;288986;186249;2563;12592;233;144;20722;151209
İzban,106546,53935,1354,3006,254,6,4659,31964;İzban;106546;53935;1354;3006;254;6;4659;31964
Izdeniz,15635,5731,248,572,222,1,713,4216;Izdeniz;15635;5731;248;572;222;1;713;4216
Izulas,68881,40064,508,3016,36,35,4470,38360;Izulas;68881;40064;508;3016;36;35;4470;38360
